plant_id,pest_or_disease,type,symptoms,prevention,treatment,severity,season_risk
11,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
12,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
12,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
12,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
13,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
13,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
13,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
14,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
14,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
14,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
15,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
15,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
15,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
16,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
16,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
16,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
17,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
17,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
17,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
18,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
18,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
18,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
19,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
19,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
19,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
20,spider_mites,insect,"stippling, webbing",increase_humidity; neem_oil,miticide_if_severe,moderate,hot_dry
20,thrips,insect,"silvering, deformed_new_growth",yellow_sticky_traps; quarantine,systemic_insecticide_spinosad,high,hot
20,root_rot,disease,"yellowing, mushy_roots",well_drained_mix; adjust_watering,trim_roots; fungicide,high,rainy
