id,scientific_name,common_name_th,common_name_en,category,care_level,origin_country,description_th,description_en,care_instructions,water_needs,light_needs,humidity_needs,temperature_min,temperature_max,growth_rate,max_height,max_width,is_poisonous,is_rare,is_trending
23,Philodendron gloriosum,ฟิโลเดนดรอน กลอริโอซุม,Gloriosum,indoor,moderate,Colombia,ฟิโลเดนดรอน กลอริโอซุม เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Gloriosum is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
24,Philodendron verrucosum,ฟิโลเดนดรอน เวอร์รูโคซุม,Verrucosum,indoor,moderate,Ecuador,ฟิโลเดนดรอน เวอร์รูโคซุม เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Verrucosum is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
25,Philodendron melanochrysum,ฟิโลเดนดรอน เมลลาโนครีซัม,Melanochrysum,indoor,moderate,Colombia,ฟิโลเดนดรอน เมลลาโนครีซัม เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Melanochrysum is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
26,Philodendron 'Birkin',ฟิโลเดนดรอน เบอร์กิน,Birkin,indoor,moderate,Netherlands,ฟิโลเดนดรอน เบอร์กิน เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Birkin is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
27,Thaumatophyllum bipinnatifidum,ฟิโลเดนดรอน เซลลูม,Philodendron Selloum,indoor,moderate,Brazil,ฟิโลเดนดรอน เซลลูม เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Philodendron Selloum is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
28,Thaumatophyllum xanadu,ฟิโลเดนดรอน ซานาดู,Philodendron Xanadu,indoor,moderate,Brazil,ฟิโลเดนดรอน ซานาดู เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Philodendron Xanadu is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
29,Philodendron atabapoense,ฟิโลเดนดรอน อะตาบาโปเอนเซ,Atabapoense,indoor,moderate,Venezuela,ฟิโลเดนดรอน อะตาบาโปเอนเซ เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Atabapoense is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,TRUE,TRUE
30,Philodendron spiritus-sancti,ฟิโลเดนดรอน สปีริตัส ซังค์ติ,Spiritus Sancti,indoor,difficult,Brazil,ฟิโลเดนดรอน สปีริตัส ซังค์ติ เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Spiritus Sancti is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,very_slow,250.0,120.0,TRUE,TRUE,TRUE
31,Philodendron plowmanii,ฟิโลเดนดรอน โพลว์มาไนอี,Plowmanii,indoor,moderate,Peru,ฟิโลเดนดรอน โพลว์มาไนอี เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Plowmanii is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
32,Philodendron pastazanum,ฟิโลเดนดรอน ปัสตาซานุม,Pastazanum,indoor,moderate,Ecuador,ฟิโลเดนดรอน ปัสตาซานุม เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Pastazanum is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
33,Philodendron hastatum,ฟิโลเดนดรอน ฮัสตาตุม (ซิลเวอร์ซอร์ด),Silver Sword,indoor,moderate,Brazil,ฟิโลเดนดรอน ฮัสตาตุม (ซิลเวอร์ซอร์ด) เป็นไม้เลื้อย/ทอดพุ่มในวงศ์ Araceae ปรับตัวในบ้านได้ดี ต้องการแสงรำไรและวัสดุปลูกโปร่งระบายน้ำดี,"Silver Sword is an aroid suited to indoor culture; thrives in bright indirect light and a chunky, well-draining medium.",ใช้ดินโปร่ง (กาบมะพร้าวสับ+เพอร์ไลต์+สแฟกนัม) ความชื้นปานกลางถึงสูง รดน้ำปานกลาง ให้ค้ำยันหรือมอสสติ๊กเพื่อกระตุ้นใบใหญ่,moderate,indirect,high,18.0,32.0,moderate,250.0,120.0,TRUE,FALSE,TRUE
34,Anthurium crystallinum,อันธูเรียม คริสตัลลินุม,Crystallinum,indoor,difficult,Peru,อันธูเรียม คริสตัลลินุม เป็นอันธูเรียมใบ/ดอก ไม้ประดับในร่ม ต้องการความชื้นสูง แสงรำไร และอากาศถ่ายเทดี วัสดุปลูกโปร่ง,"Crystallinum is an Anthurium suited to indoor culture; requires high humidity, bright shade, airflow and a chunky, airy mix.",ใช้วัสดุปลูกโปร่ง (เปลือกสน+เพอร์ไลต์+สแฟกนัม) ความชื้น 70–90% รดน้ำสม่ำเสมอแต่ไม่ขังแฉะ วางที่อากาศถ่ายเทดี,moderate,indirect,very_high,18.0,30.0,slow,120.0,100.0,TRUE,TRUE,TRUE
